,MPIESM12,GISSE2R,IPSLCM5A,CCSM3,HadGEM2ES,CESM104,ECHAM5MPIOM,FAMOUS,CNRMCM61,HadCM3L,MPIESM11
147,4.887787,3.4743652,5.9849243,4.105133,6.536499,4.724182,6.7829895,10.366272,6.5422974,4.633911,5.039734
148,4.9869385,3.4649658,5.7347717,4.062378,6.4369507,4.892975,6.9493713,10.4935,6.7274475,4.4339905,5.169403
149,5.092285,3.4969482,5.9047546,4.1817627,6.4838867,4.8337097,6.8476257,10.4566345,6.7094116,4.4046326,5.059143
150,5.032257,3.5446777,5.8959045,4.0479736,6.48999,4.820709,6.9757996,10.40152,6.821808,4.5684204,5.0560303
151,5.0862427,3.4828491,5.9320984,3.9108582,6.4238586,4.8012695,7.0637207,10.484375,6.8346252,4.7084045,4.9303894
152,5.072418,3.4425964,5.8527527,4.0260925,6.335144,4.8739014,6.9677124,10.477753,6.74765,4.659607,4.8529663
153,4.9342957,3.4777832,5.917694,4.077118,6.3589783,4.8827515,6.995514,10.327515,6.5584717,4.67395,4.9396667
154,4.9410095,3.5359497,5.9533997,4.0928955,6.3830566,4.7674255,7.2104797,10.264709,6.8211975,4.784149,5.0166626
155,4.923462,3.491394,5.8479004,4.058197,6.478119,4.7418213,7.2963257,10.443909,6.8146667,4.6560974,4.980133
156,4.8990784,3.4933472,5.986908,4.0987244,6.418091,4.943329,7.2688904,10.627808,6.6414185,4.5441895,5.1707764
157,4.988678,3.5045776,5.806946,4.0550537,6.526001,4.9828186,7.103119,10.471832,6.7532043,4.4017944,4.9881287
158,5.155304,3.5181885,5.9278564,3.942047,6.4620056,4.9169617,7.32489,10.611053,6.6960754,4.377655,5.0952454
159,4.9658203,3.575348,6.0253906,4.0702515,6.5293884,4.869232,7.1846313,10.728546,6.5417786,4.4599915,5.0854187
160,5.017853,3.5882874,5.968292,4.012451,6.350525,4.7781677,7.2333374,10.493988,6.597046,4.687134,5.1102905
161,5.141388,3.5551147,5.897156,4.0764465,6.384247,4.865204,7.254669,10.617004,6.7552795,4.878662,5.1323547
162,5.0743713,3.534729,5.777527,3.9741821,6.402466,5.0464478,6.952942,10.512299,6.6463623,4.8462524,5.2107544
163,5.1576843,3.482544,5.918701,4.105011,6.4055176,4.876404,7.1545715,10.548584,6.679901,4.832733,5.278717
164,5.107727,3.5152893,5.995056,3.988037,6.4437256,4.907135,6.9972534,10.660309,6.830139,4.770172,5.09021
165,4.9868774,3.5699463,5.7156982,3.9182434,6.4683533,4.9579773,7.128662,10.784515,6.580475,4.7167053,5.0578003
166,5.0531006,3.5509949,6.053253,3.973877,6.450653,5.0026855,7.2843018,10.795776,6.757019,4.575653,5.082428
167,5.0434265,3.4866943,6.023224,4.155792,6.5433044,4.968445,7.262451,10.695679,6.7960205,4.75058,5.121582
168,5.092804,3.5142212,5.787018,4.119385,6.6240234,5.066803,7.2872925,10.553436,6.6829834,4.883667,5.057953
169,4.9966125,3.4839478,5.803253,4.2307434,6.6039734,5.0388184,7.3888245,10.767944,6.8243713,4.877014,4.927429
170,5.0194397,3.5245667,5.846985,4.1868286,6.432892,5.0517883,7.0257874,10.695374,6.8084106,4.8322144,4.9684143
171,4.9763794,3.4384155,6.0177917,3.9842834,6.2747498,4.949463,7.1367493,10.787231,6.682678,4.883606,5.1522827
172,5.1844482,3.431305,5.916626,4.181946,6.365326,4.9056396,7.189087,10.746857,6.984894,4.9453735,5.112488
173,5.351898,3.4234314,5.883606,4.2596436,6.3342285,4.870575,7.226227,10.550751,7.000183,4.8819275,5.1839905
174,5.1748657,3.5372925,5.916321,4.277588,6.302643,5.1244507,7.5139465,10.479462,6.835022,4.9884644,5.252716
175,5.0762634,3.5355225,6.103607,4.336548,6.2981567,5.1671753,7.264679,10.513245,6.8294983,4.8216248,5.168976
176,5.1882935,3.5338135,6.0715027,4.24823,6.468689,4.93454,7.354828,10.358551,6.9394226,4.8342285,5.1134033
177,5.0787964,3.527954,5.993225,3.979248,6.4867554,4.940674,7.2645264,10.476715,6.82489,4.870697,5.265381
178,5.0429077,3.6233215,5.9226685,3.9450989,6.4653625,4.9553833,7.0898743,10.517853,6.754364,4.7330933,5.330658
179,4.973999,3.629547,6.00766,4.122162,6.5277405,5.08197,7.645935,10.546631,6.8193054,4.662262,5.292877
180,4.960663,3.5628662,5.993683,4.0964966,6.710907,5.0663147,7.568207,10.628296,6.8752747,4.7253723,5.1011047
181,4.91333,3.5769653,6.111389,4.028473,6.638733,4.9910583,7.2045593,10.695038,6.803711,4.6367188,5.110443
182,5.0932617,3.6259155,6.1406555,3.8987732,6.482239,5.0708313,7.260437,10.646912,6.9359436,4.682953,5.276947
183,5.2389526,3.6087952,6.2964783,4.006195,6.453491,5.0464783,7.270508,10.663757,6.806732,4.7310486,5.2951355
184,5.244507,3.6017761,6.1100464,4.0204163,6.423645,4.970703,7.284729,10.821167,7.004669,4.7225037,5.130066
185,5.1815796,3.630127,6.2118835,4.0717773,6.487274,4.9234314,7.457733,10.71933,6.7816772,4.7461243,5.1473083
186,5.022888,3.5097656,5.9842224,4.140106,6.547516,4.896118,7.334564,10.913666,6.8593445,4.6600647,5.0958557
187,5.037201,3.5476685,5.9804077,4.0562744,6.588684,4.986908,7.2101746,10.722046,6.883301,4.690979,4.9868164
188,5.154419,3.664795,6.168762,4.0663757,6.712219,4.970978,7.3573303,10.774445,6.9256287,4.755615,5.089203
189,5.030182,3.6099243,5.993286,4.057831,6.5724792,5.088806,7.3055725,10.78418,7.0894165,4.8200073,5.17865
190,5.030243,3.6177368,6.046753,4.0176086,6.7210693,5.0777283,7.240387,10.87973,7.17218,4.8357544,5.218292
191,5.1357727,3.5154724,5.9303894,4.0670776,6.6786804,5.006256,7.3280945,10.841827,7.081543,4.8541565,5.1865845
192,5.277252,3.5360718,6.0044556,3.9921265,6.56131,5.2296753,7.4670715,10.919281,6.9884033,4.7651978,4.973419
193,5.296692,3.6704712,6.2423706,4.0467224,6.4826355,5.2966614,7.5234375,10.795685,7.0423584,4.9379883,4.9955444
194,5.104828,3.7031555,6.1944885,4.1645813,6.4437866,5.0753174,7.0880127,10.841431,6.8862915,5.0230713,5.046051
195,5.0528564,3.6575317,6.0825806,4.09552,6.515747,5.1184387,7.401123,10.759674,6.9674377,5.1280212,5.17157
196,5.1508484,3.6837769,6.049469,4.168274,6.6120605,5.2340393,7.6502075,10.797241,6.984741,4.8852844,5.1796875
197,5.230316,3.6855469,5.9838867,4.0894775,6.5820007,5.085846,7.3139343,10.633514,7.1642456,4.904358,5.0878906
198,5.2202454,3.6095276,6.010315,4.1509705,6.6577454,5.066101,7.585022,10.739105,6.9769287,4.9470825,5.1166077
199,5.247162,3.6311646,5.9725037,4.1236267,6.6936035,5.0040283,7.726715,10.8203125,7.1330566,5.0028076,5.1740417
200,5.091095,3.6185303,6.031067,4.13974,6.67688,5.1735535,7.14032,10.600586,7.031708,4.79541,4.9970703
201,4.917633,3.5970764,6.161255,4.180481,6.672058,5.31427,7.354645,10.630646,7.0764465,4.8255615,4.982788
202,5.09256,3.643341,6.0547485,4.167267,6.661438,5.0625305,7.2590027,10.694977,6.937744,4.8732605,5.1189575
203,5.0204773,3.6889954,6.1115417,4.225586,6.6384583,4.978424,7.2289124,10.61734,7.121521,5.1103516,5.1981506
204,5.137085,3.5830994,6.127289,4.118469,6.501129,5.033478,7.588806,10.659088,7.007263,5.0394897,5.199005
205,5.3827515,3.5502014,6.1772766,4.051361,6.5289307,5.0760803,7.5952454,10.644501,6.965271,4.9934998,5.262726
206,5.378418,3.533661,6.102997,4.1573486,6.517029,5.175873,7.4631653,10.5979,7.0154724,4.935669,5.3650513
207,5.2168884,3.5707703,6.190338,4.2151794,6.566986,5.063965,7.3965454,10.754761,7.0791626,4.789856,5.102478
208,5.314148,3.57193,6.187378,4.2254333,6.791443,5.1716003,7.6429443,10.576508,6.920105,4.729309,5.268921
209,5.4653015,3.6176758,6.065857,4.0844116,6.7853394,5.2878723,7.4940186,10.662567,7.2099915,4.8772583,5.306244
210,5.4452515,3.6546326,6.0950623,4.0444336,6.6564026,5.428131,7.427948,10.617584,7.1087036,4.9852905,5.0812683
211,5.327545,3.6493225,6.3376465,4.1455383,6.8544617,5.3052063,7.591461,10.78183,6.8311768,4.9620056,5.0973816
212,5.1902466,3.6051636,6.0601807,4.1435547,6.921417,5.186981,7.763397,10.711639,6.99292,5.035095,5.1145325
213,5.1358337,3.5481262,6.08432,4.1170044,6.758301,5.0901794,7.443817,10.747955,7.0516357,4.869995,5.4260864
214,5.082367,3.592804,6.085724,4.10376,6.732361,5.0115356,7.4714355,10.953217,7.1707153,4.849884,5.254944
215,5.004364,3.6317444,6.1158752,4.0217285,6.7115784,5.20636,7.431122,11.076691,6.9705505,5.0051575,5.2661743
